"['D:\\python\\pythonScrapy\\images\\full', 'timschmidbauer_November32022UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'soberanes_August262017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'timschmidbauer_January122023UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'sadmax_November162019UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'gettyimages_September272022UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'pactovisual_November22016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'whatisdelirium_July172017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'kireinamona_February202016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'ludemeula_November182017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'miklevasilyev_August292016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'alxndr_london_May212017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'yerlinmatu_December152017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'magict1911_October202019UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'kstonematheson_November92018UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'chrisabney_December222016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'madhatterzone_January22018UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'nathananderson_March12023UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'plhnk_August42017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'kerber_March92017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'timschmidbauer_November32022UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'soberanes_August262017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'timschmidbauer_January122023UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'sadmax_November162019UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'gettyimages_September272022UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'pactovisual_November22016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'whatisdelirium_July172017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'kireinamona_February202016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'ludemeula_November182017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'miklevasilyev_August292016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'alxndr_london_May212017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'yerlinmatu_December152017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'magict1911_October202019UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'kstonematheson_November92018UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'chrisabney_December222016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'nathananderson_March12023UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'madhatterzone_January22018UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'plhnk_August42017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'kerber_March92017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'timschmidbauer_November32022UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'soberanes_August262017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'timschmidbauer_January122023UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'sadmax_November162019UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'gettyimages_September272022UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'pactovisual_November22016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'whatisdelirium_July172017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'kireinamona_February202016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'ludemeula_November182017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'miklevasilyev_August292016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'alxndr_london_May212017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'yerlinmatu_December152017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'magict1911_October202019UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'kstonematheson_November92018UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'chrisabney_December222016UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'madhatterzone_January22018UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'nathananderson_March12023UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'plhnk_August42017UTC', 'cat']"
"['D:\\python\\pythonScrapy\\images\\full', 'kerber_March92017UTC', 'cat']"
